City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Victoria,HK,74.25,clear sky,22.2855,114.1577,Mini Central
3,Muros,ES,60.84,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
4,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
5,Hermanus,ZA,69.13,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,La Rioja,ES,53.38,overcast clouds,42.25,-2.5,Casa Concejos
9,Buraydah,SA,72.05,clear sky,26.326,43.975,Mövenpick Qassim
10,Yellowknife,CA,52.32,broken clouds,62.456,-114.3525,The Explorer Hotel
11,Viedma,AR,52.97,clear sky,-40.8135,-62.9967,Hotel Cristal
12,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
13,Marzuq,YE,69.58,clear sky,14.4,46.4667,حيد القفلة
15,Lasa,IT,54.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
18,Lagoa,PT,69.57,broken clouds,39.05,-27.9833,Casa Das Faias
19,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,Richards Bay,ZA,70.88,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
25,Rikitea,PF,72.3,few clouds,-23.1203,-134.9692,People ThankYou
26,Thompson,CA,66.36,few clouds,55.7435,-97.8558,Burntwood Hotel
27,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
28,Fayetteville,US,67.59,broken clouds,35.0527,-78.8784,American Eagle Inn
29,Port Alfred,ZA,67.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
31,Xai-Xai,MZ,71.17,clear sky,-25.0519,33.6442,Complexo da Familia
32,Busselton,AU,53.29,overcast clouds,-33.65,115.3333,Observatory Guest House
35,Mar Del Plata,AR,53.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
37,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Sioux Lookout,CA,55.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
39,Atuona,PF,76.93,few clouds,-9.8,-139.0333,Villa Enata
42,Geraldton,AU,52.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
43,Truro,GB,51.08,broken clouds,50.2653,-5.0544,Mannings Hotel
45,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
48,Morehead,US,64.99,clear sky,37.2711,-87.1764,CCI Express Inn
54,Port Hardy,CA,57.38,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
55,New Norfolk,AU,59.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
56,Arraial Do Cabo,BR,70.47,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
57,Albany,US,50.23,scattered clouds,42.6001,-73.9662,
58,Guerrero Negro,MX,72.88,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
60,East London,ZA,67.6,overcast clouds,-33.0153,27.9116,Tu Casa
62,Tomigusuku,JP,74.97,scattered clouds,26.185,127.675,Hotel Gran View Okinawa
69,Tautira,PF,75.74,light rain,-17.7333,-149.15,Pension Oaoa
71,Constitucion,CL,51.26,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
73,Telde,ES,70.02,few clouds,27.9924,-15.4192,Hotel Rural Cortijo San Ignacio Golf
76,Verdun,FR,55.42,overcast clouds,49.25,5.3333,Logis Hôtel le Relais
79,Taltal,CL,59.88,few clouds,-25.4,-70.4833,Residencial Karime
81,Bredasdorp,ZA,65.95,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
82,Beloha,MG,65.23,scattered clouds,-25.1667,45.05,
84,Morondava,MG,75.43,few clouds,-20.2833,44.2833,La Case Bambou
86,Marsabit,KE,62.58,clear sky,2.3284,37.9899,Chicho Hotel
87,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
89,Te Anau,NZ,56.88,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
92,Avera,US,69.85,scattered clouds,33.194,-82.5271,
94,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
95,Lompoc,US,77.14,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
96,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
99,Flinders,AU,60.26,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
100,Ponta Do Sol,PT,72.12,scattered clouds,32.6667,-17.1,Hotel do Campo
101,Broome,US,52.18,clear sky,42.2506,-75.833,Chenango Valley State Park
102,Lumphat,KH,73.17,overcast clouds,13.4878,106.9816,"Wing Seng Narong Agent, And Printing House"
103,Yangambi,CD,68.31,light rain,0.8102,24.4336,
104,Hasaki,JP,75.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
108,Valdivia,CL,57.29,clear sky,-39.8142,-73.2459,Hostal Entre Rios
111,Hualmay,PE,62.8,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
112,Sao Filipe,CV,78.87,broken clouds,14.8961,-24.4956,Hotel Xaguate
116,Xichang,CN,51.84,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
118,Kodiak,US,58.51,clear sky,57.79,-152.4072,Best Western Kodiak Inn
119,Fayaoue,NC,75.74,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
121,Castro,BR,57.25,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
123,Hamilton,US,65.84,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
125,Kiama,AU,62.01,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
126,Santa Maria,BR,52.9,light rain,-29.6842,-53.8069,Hotel Morotin
127,Faanui,PF,78.24,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Inhambane,MZ,73.89,scattered clouds,-23.865,35.3833,Oceano
131,Codrington,AU,62.46,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
135,Puerto Baquerizo Moreno,EC,67.05,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
136,Poum,NC,78.04,broken clouds,-20.2333,164.0167,
138,Mae Ramat,TH,75.79,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
139,Namibe,AO,66.52,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
140,North Bend,US,63.91,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
142,Abha,SA,60.62,clear sky,18.2164,42.5053,Abha Hotel
143,Manono,CD,70.54,scattered clouds,-7.3,27.4167,Hotel hewa bora
144,Minab,IR,71.92,clear sky,27.1467,57.0801,Bam campground
145,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
148,Carutapera,BR,78.66,few clouds,-1.195,-46.02,Lidera
149,Nioro,GM,76.91,overcast clouds,13.35,-15.75,
152,Cidreira,BR,58.44,moderate rain,-30.1811,-50.2056,Hotel Castelo
153,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
155,Cranbrook,CA,69.64,smoke,49.4999,-115.7688,Almo Court Motel
156,Nurota,UZ,51.06,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
157,Port Lincoln,AU,64.24,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
160,Bien Hoa,VN,76.98,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
161,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
163,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
166,Hobart,AU,60.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
167,Lata,PT,64.08,overcast clouds,40.1629,-8.3327,Casa Maquia
170,Puri,IN,77.52,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
171,Kaitangata,NZ,52.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
172,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
173,Puerto Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
174,Gawler,AU,67.24,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
178,Samur,RU,64.83,scattered clouds,41.8253,48.486000000000004,Samur
183,Kaeo,NZ,69.33,overcast clouds,-35.1,173.7833,Bushido Lodge
185,Bud,US,69.78,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
186,Maldonado,UY,51.22,few clouds,-34.6667,-54.9167,La Cimarrona
187,Malakal,SS,69.08,moderate rain,9.5334,31.6605,Nile Palace Hotel
189,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
192,Bowen,AU,77.25,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
193,Carnarvon,AU,63.9,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
194,Goderich,CA,51.91,few clouds,43.7501,-81.7165,Harmony Inn
195,Evansville,US,73.22,clear sky,37.9748,-87.5558,Le Merigot Hotel
197,Ribeira Grande,PT,69.78,few clouds,38.5167,-28.7,Quinta da Meia Eira
198,Fort Nelson,CA,54.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
200,Port Elizabeth,ZA,69.31,clear sky,-33.918,25.5701,39 On Nile Guest House
202,Prince Rupert,CA,55.49,overcast clouds,54.3161,-130.3201,Crest Hotel
203,Zaragoza,ES,67.01,few clouds,41.6561,-0.8773,Hotel Goya
204,Rochester,US,50.36,scattered clouds,43.1548,-77.6156,Hyatt Regency Rochester
208,Mchinji,MW,64.45,clear sky,-13.7984,32.8802,Kayesa Inn
209,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
210,Hami,CN,51.84,scattered clouds,42.8,93.45,Laoyutang Resort
211,Kinna,SE,52.45,overcast clouds,57.5073,12.6946,Hanatorps Camping
212,Margate,GB,53.69,clear sky,51.3813,1.3862,Premier Inn Margate hotel
214,Pizarro,CO,76.6,overcast clouds,4.9533,-77.366,Hotel Limonar
218,Axim,GH,76.05,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
221,Byron Bay,AU,65.71,overcast clouds,-28.65,153.6167,Backpackers Inn
222,Westport,US,62.37,broken clouds,41.1415,-73.3579,The Westport Inn
223,Lima,PE,65.89,scattered clouds,-12.0432,-77.0282,Hotel Kamana
224,Yenagoa,NG,75.0,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
225,Moratuwa,LK,77.02,scattered clouds,6.773,79.8816,Sa Mansion By Yoho
227,Yangjiang,CN,66.49,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
229,Yokadouma,CM,66.43,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
232,Bodrum,TR,69.28,clear sky,37.0383,27.4292,The Marmara Bodrum
236,Vao,NC,72.46,light rain,-22.6667,167.4833,Hotel Kou-Bugny
237,Weiser,US,79.0,clear sky,44.251000000000005,-116.9693,The Colonial Motel
238,Broken Hill,AU,66.79,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
239,Siuri,IN,75.99,broken clouds,23.9167,87.5333,Sarada Hotel & Dipa Restaurant
241,Manado,ID,79.57,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
242,Ahipara,NZ,66.2,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
247,Kokstad,ZA,65.43,overcast clouds,-30.5472,29.4241,Majestic Bed and Breakfast
248,Bethel,US,59.56,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
249,Nelson Bay,AU,66.11,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
251,Kantunilkin,MX,75.63,overcast clouds,21.0917,-87.45,Posada Paraiso
253,Ratnagiri,IN,76.68,overcast clouds,16.9833,73.3,Hotel Landmark
254,Southbridge,US,56.39,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
255,Teknaf,BD,77.63,overcast clouds,20.8624,92.3058,Forestry Guesthouse
257,Kouroussa,GN,73.02,moderate rain,10.65,-9.8833,Hotel Tando Plus
259,Qingquan,CN,55.94,broken clouds,30.4511,115.2559,Caiyuan Hotel
260,Nachingwea,TZ,66.02,clear sky,-10.3833,38.7667,Makoga lodge
268,Coquimbo,CL,55.13,few clouds,-29.9533,-71.3436,Hotel San Juan
269,Tottori,JP,59.07,broken clouds,35.5,134.2333,Hotel Monarque Tottori
272,Bhatkal,IN,75.99,moderate rain,13.9667,74.5667,Nilawar Palace Lodge
273,Takoradi,GH,76.55,scattered clouds,4.8845,-1.7554,Raybow International Hotel
274,Acajutla,SV,76.55,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
275,Otane,NZ,65.01,light rain,-39.8833,176.6333,Ludlow Farmstay
276,Sirjan,IR,59.09,clear sky,29.451999999999998,55.6814,MAPNA Building
277,Artyom,AZ,64.54,clear sky,40.4723,50.333,Yusif 10 A
282,Soe,ID,79.11,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
284,Bambanglipuro,ID,78.94,overcast clouds,-7.95,110.2833,Puri Brata
285,Shenzhen,CN,72.21,clear sky,22.5455,114.0683,Grand Skylight
287,Ankang,CN,50.0,clear sky,32.68,109.0172,安琪酒店
288,Gorontalo,ID,79.81,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
292,Esperance,AU,51.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
295,Somanda,TZ,70.56,broken clouds,-3.3667,33.95,
296,Erzin,TR,67.19,clear sky,36.9559,36.2,Artemis Otel
