City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nhulunbuy,AU,-12.2333,136.7667,86.61,70,75,10.36,broken clouds
1,Bombay,IN,19.0144,72.8479,82.38,89,75,5.75,haze
2,Victoria,HK,22.2855,114.1577,74.25,48,7,13.0,clear sky
3,Muros,ES,42.7762,-9.0603,60.84,94,76,5.7,broken clouds
4,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,30,9.98,scattered clouds
5,Hermanus,ZA,-34.4187,19.2345,69.13,52,99,7.16,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,42.46,70,75,18.41,broken clouds
7,La Rioja,ES,42.25,-2.5,53.38,74,100,1.5,overcast clouds
8,Dikson,RU,73.5069,80.5464,34.65,98,100,8.99,overcast clouds
9,Buraydah,SA,26.326,43.975,72.05,15,0,2.95,clear sky
10,Yellowknife,CA,62.456,-114.3525,52.32,58,75,18.41,broken clouds
11,Viedma,AR,-40.8135,-62.9967,52.97,60,0,14.54,clear sky
12,Vaini,TO,-21.2,-175.2,78.96,73,40,25.32,scattered clouds
13,Marzuq,YE,14.4,46.4667,69.58,61,9,0.74,clear sky
14,Berbera,SO,10.4396,45.0143,83.97,75,7,6.2,clear sky
15,Lasa,IT,46.6166,10.7002,54.48,82,80,3.31,broken clouds
16,Mataura,NZ,-46.1927,168.8643,48.16,79,99,7.36,overcast clouds
17,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,18.41,scattered clouds
18,Lagoa,PT,39.05,-27.9833,69.57,86,82,5.14,broken clouds
19,Souillac,MU,-20.5167,57.5167,70.18,88,75,9.22,broken clouds
20,Nanortalik,GL,60.1432,-45.2371,37.65,91,99,4.99,light rain
21,San Andres,CO,12.5847,-81.7006,82.42,78,75,5.75,broken clouds
22,Nabire,ID,-3.3667,135.4833,83.79,72,87,0.92,overcast clouds
23,Richards Bay,ZA,-28.783,32.0377,70.88,90,99,11.45,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,6.76,57,29,7.72,scattered clouds
25,Rikitea,PF,-23.1203,-134.9692,72.3,72,21,7.18,few clouds
26,Thompson,CA,55.7435,-97.8558,66.36,39,20,11.5,few clouds
27,Vila Velha,BR,-20.3297,-40.2925,78.75,83,100,8.05,overcast clouds
28,Fayetteville,US,35.0527,-78.8784,67.59,77,75,3.44,broken clouds
29,Port Alfred,ZA,-33.5906,26.891,67.17,86,100,3.0,overcast clouds
30,Saint George,US,37.1041,-113.5841,82.99,24,0,25.32,clear sky
31,Xai-Xai,MZ,-25.0519,33.6442,71.17,90,1,2.98,clear sky
32,Busselton,AU,-33.65,115.3333,53.29,70,99,9.66,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,10.36,broken clouds
34,Tupik,RU,54.4253,119.9327,33.42,70,11,1.1,few clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,53.1,77,0,18.99,clear sky
36,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.8,75,100,11.5,overcast clouds
37,Bengkulu,ID,-3.8004,102.2655,76.78,83,100,3.2,overcast clouds
38,Sioux Lookout,CA,50.1001,-91.917,55.47,54,75,9.22,broken clouds
39,Atuona,PF,-9.8,-139.0333,76.93,71,14,14.5,few clouds
40,Dingle,PH,10.9995,122.6711,80.33,83,44,2.64,scattered clouds
41,Khatanga,RU,71.9667,102.5,7.93,96,84,3.22,broken clouds
42,Geraldton,AU,-28.7667,114.6,52.21,82,97,3.44,overcast clouds
43,Truro,GB,50.2653,-5.0544,51.08,76,71,6.91,broken clouds
44,Bluff,NZ,-46.6,168.3333,48.6,63,76,16.24,broken clouds
45,Avarua,CK,-21.2078,-159.775,78.85,61,75,27.63,broken clouds
46,Mehamn,NO,71.0357,27.8492,42.75,81,75,8.05,broken clouds
47,Kedrovyy,RU,56.1667,91.8167,41.41,89,100,13.91,light rain
48,Morehead,US,37.2711,-87.1764,64.99,54,0,0.0,clear sky
49,Longyearbyen,SJ,78.2186,15.6401,33.64,75,20,13.8,few clouds
50,Tiksi,RU,71.6872,128.8694,11.95,88,99,13.69,overcast clouds
51,Port Hawkesbury,CA,45.6169,-61.3485,49.59,87,0,3.44,clear sky
52,Iqaluit,CA,63.7506,-68.5145,22.73,85,40,12.66,scattered clouds
53,Acapulco,MX,16.8634,-99.8901,87.62,74,75,6.91,broken clouds
54,Port Hardy,CA,50.6996,-127.4199,57.38,62,40,17.27,scattered clouds
55,New Norfolk,AU,-42.7826,147.0587,59.92,62,57,1.01,broken clouds
56,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,94,85,1.59,overcast clouds
57,Albany,US,42.6001,-73.9662,50.23,90,37,4.14,scattered clouds
58,Guerrero Negro,MX,27.9769,-114.0611,72.88,75,9,15.19,clear sky
59,Baykit,RU,61.67,96.37,39.9,98,100,4.9,overcast clouds
60,East London,ZA,-33.0153,27.9116,67.6,84,100,10.96,overcast clouds
61,Grindavik,IS,63.8424,-22.4338,37.87,75,100,14.97,overcast clouds
62,Tomigusuku,JP,26.185,127.675,74.97,60,40,23.02,scattered clouds
63,Butaritari,KI,3.0707,172.7902,82.06,75,85,13.6,overcast clouds
64,Barrow,US,71.2906,-156.7887,28.42,93,100,10.36,overcast clouds
65,Georgetown,MY,5.4112,100.3354,80.53,89,20,2.3,few clouds
66,Kudahuvadhoo,MV,2.6708,72.8944,81.23,79,67,20.56,broken clouds
67,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,14.97,overcast clouds
68,Rocha,UY,-34.4833,-54.3333,43.63,87,26,5.7,scattered clouds
69,Tautira,PF,-17.7333,-149.15,75.74,79,32,11.99,light rain
70,Hilo,US,19.7297,-155.09,87.53,76,20,13.8,few clouds
71,Constitucion,CL,-35.3333,-72.4167,51.26,82,0,10.25,clear sky
72,Katobu,ID,-4.9408,122.5276,81.45,78,91,2.33,overcast clouds
73,Telde,ES,27.9924,-15.4192,70.02,64,20,17.27,few clouds
74,Rudnogorsk,RU,57.2639,103.7519,39.02,94,100,7.72,overcast clouds
75,Jamestown,US,42.097,-79.2353,49.59,78,11,1.01,few clouds
76,Verdun,FR,49.25,5.3333,55.42,90,86,5.53,overcast clouds
77,Deer Lake,CA,49.1667,-57.4316,35.46,87,40,3.44,scattered clouds
78,Lorengau,PG,-2.0226,147.2712,84.33,58,58,7.05,broken clouds
79,Taltal,CL,-25.4,-70.4833,59.88,67,15,4.34,few clouds
80,Kirakira,SB,-10.4544,161.9205,83.44,71,27,4.94,scattered clouds
81,Bredasdorp,ZA,-34.5322,20.0403,65.95,58,93,4.85,overcast clouds
82,Beloha,MG,-25.1667,45.05,65.23,98,29,4.9,scattered clouds
83,Mareeba,AU,-17.0,145.4333,81.48,66,10,7.27,clear sky
84,Morondava,MG,-20.2833,44.2833,75.43,82,19,4.76,few clouds
85,Umm Kaddadah,SD,13.6017,26.6876,84.38,43,7,6.49,clear sky
86,Marsabit,KE,2.3284,37.9899,62.58,74,0,17.36,clear sky
87,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,9.22,broken clouds
88,Rehoboth,NA,-23.3167,17.0833,71.53,19,96,3.27,overcast clouds
89,Te Anau,NZ,-45.4167,167.7167,56.88,47,71,4.88,broken clouds
90,Mecca,SA,21.4267,39.8261,80.92,58,0,1.59,clear sky
91,Pangnirtung,CA,66.1451,-65.7125,23.74,70,98,2.19,overcast clouds
92,Avera,US,33.194,-82.5271,69.85,70,32,7.05,scattered clouds
