City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2022-10-05 19:22:55,70.6333,147.9167,16.29,97,97,4.83
1,Hithadhoo,MV,2022-10-05 19:22:56,-0.6,73.0833,82.4,73,100,17.56
2,Hilo,US,2022-10-05 19:22:57,19.7297,-155.09,85.28,74,40,3.44
3,La Ronge,CA,2022-10-05 19:22:57,55.1001,-105.2842,43.02,45,40,6.91
4,Busselton,AU,2022-10-05 19:22:58,-33.65,115.3333,49.48,60,18,9.91
5,Kapaa,US,2022-10-05 19:21:29,22.0752,-159.319,80.58,87,100,5.75
6,Rikitea,PF,2022-10-05 19:22:59,-23.1203,-134.9692,69.57,59,0,21.23
7,Port Elizabeth,ZA,2022-10-05 19:23:00,-33.918,25.5701,61.32,85,40,9.22
8,Geraldton,AU,2022-10-05 19:23:00,-28.7667,114.6,54.01,87,75,6.91
9,Hebi,CN,2022-10-05 19:23:02,35.8992,114.1925,49.57,65,92,3.44
10,Kaitangata,NZ,2022-10-05 19:23:02,-46.2817,169.8464,36.43,80,100,14.61
11,Stade,DE,2022-10-05 19:20:46,53.6,9.4833,63.41,72,6,17.09
12,Albany,US,2022-10-05 19:23:04,42.6001,-73.9662,63.88,79,100,3.71
13,Portland,US,2022-10-05 19:21:37,45.5234,-122.6762,70.0,79,100,6.91
14,Carnarvon,AU,2022-10-05 19:23:05,-24.8667,113.6333,63.3,64,1,23.4
15,Bambous Virieux,MU,2022-10-05 19:23:06,-20.3428,57.7575,71.85,73,40,8.05
16,Pangody,RU,2022-10-05 19:23:07,65.85,74.4859,31.03,93,18,2.1
17,Yellowknife,CA,2022-10-05 19:21:18,62.456,-114.3525,37.92,65,75,12.66
18,Nikolskoye,RU,2022-10-05 19:23:08,59.7035,30.7861,46.8,93,100,5.32
19,Vanavara,RU,2022-10-05 19:23:09,60.34,102.2797,26.76,82,46,3.33
20,Hobart,AU,2022-10-05 19:21:58,-42.8794,147.3294,48.25,84,75,9.22
21,Wukari,NG,2022-10-05 19:23:10,7.85,9.7833,77.61,84,55,3.36
22,Mataura,NZ,2022-10-05 19:23:11,-46.1927,168.8643,36.48,86,100,7.2
23,Sambava,MG,2022-10-05 19:23:11,-14.2667,50.1667,69.98,90,5,11.21
24,Oranjemund,NA,2022-10-05 19:23:12,-28.55,16.4333,56.62,85,62,12.53
25,Cartagena,CO,2022-10-05 19:20:23,10.3997,-75.5144,82.02,78,75,11.5
26,Kargopol,RU,2022-10-05 19:23:13,61.5071,38.9456,46.81,98,100,2.24
